carrier_slug,carrier_name,product_slug,product_name,condition_key,outcome,rule_text,age_min,age_max,coverage,source
amam,American Amicable,express_term,Express Term,,,Product listed on Javy MATRIX screenshots. Cell rules incomplete until spreadsheet import.,18,75,incomplete,catalog
amam,American Amicable,express_term,Express Term,aids_hiv,decline,AIDS / HIV row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,18,75,seeded,screenshot_row_uniform
amam,American Amicable,express_term,Express Term,als,decline,ALS row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,18,75,seeded,screenshot_row_uniform
amam,American Amicable,express_term,Express Term,alzheimers,decline,Alzheimer’s row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,18,75,seeded,screenshot_row_uniform
amam,American Amicable,express_term,Express Term,dementia,decline,Dementia row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,18,75,seeded,screenshot_row_uniform
amam,American Amicable,express_term,Express Term,cystic_fibrosis,decline,Cystic fibrosis row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,18,75,seeded,screenshot_row_uniform
amam,American Amicable,home_certainty,Home Certainty Term & Express UL/IUL,,,Product listed on Javy MATRIX screenshots. Cell rules incomplete until spreadsheet import.,20,75,incomplete,catalog
amam,American Amicable,home_certainty,Home Certainty Term & Express UL/IUL,aids_hiv,decline,AIDS / HIV row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,20,75,seeded,screenshot_row_uniform
amam,American Amicable,home_certainty,Home Certainty Term & Express UL/IUL,als,decline,ALS row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,20,75,seeded,screenshot_row_uniform
amam,American Amicable,home_certainty,Home Certainty Term & Express UL/IUL,alzheimers,decline,Alzheimer’s row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,20,75,seeded,screenshot_row_uniform
amam,American Amicable,home_certainty,Home Certainty Term & Express UL/IUL,dementia,decline,Dementia row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,20,75,seeded,screenshot_row_uniform
amam,American Amicable,home_certainty,Home Certainty Term & Express UL/IUL,cystic_fibrosis,decline,Cystic fibrosis row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,20,75,seeded,screenshot_row_uniform
amam,American Amicable,dignity_solutions,Dignity Solutions WL,,,Product listed on Javy MATRIX screenshots. Cell rules incomplete until spreadsheet import.,50,85,incomplete,catalog
amam,American Amicable,dignity_solutions,Dignity Solutions WL,aids_hiv,decline,AIDS / HIV row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,50,85,seeded,screenshot_row_uniform
amam,American Amicable,dignity_solutions,Dignity Solutions WL,als,decline,ALS row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,50,85,seeded,screenshot_row_uniform
amam,American Amicable,dignity_solutions,Dignity Solutions WL,alzheimers,decline,Alzheimer’s row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,50,85,seeded,screenshot_row_uniform
amam,American Amicable,dignity_solutions,Dignity Solutions WL,dementia,decline,Dementia row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,50,85,seeded,screenshot_row_uniform
amam,American Amicable,dignity_solutions,Dignity Solutions WL,cystic_fibrosis,decline,Cystic fibrosis row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,50,85,seeded,screenshot_row_uniform
amam,American Amicable,qsfp_wl,QSFP WL,,,Product listed on Javy MATRIX screenshots. Cell rules incomplete until spreadsheet import.,0,85,incomplete,catalog
amam,American Amicable,qsfp_wl,QSFP WL,aids_hiv,decline,AIDS / HIV row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,0,85,seeded,screenshot_row_uniform
amam,American Amicable,qsfp_wl,QSFP WL,als,decline,ALS row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,0,85,seeded,screenshot_row_uniform
amam,American Amicable,qsfp_wl,QSFP WL,alzheimers,decline,Alzheimer’s row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,0,85,seeded,screenshot_row_uniform
amam,American Amicable,qsfp_wl,QSFP WL,dementia,decline,Dementia row is empty/decline across visible MATRIX product columns (screenshots 2026-09-16). Confirm when spreadsheet provided.,0,85,seeded,screenshot_row_uniform
