carrier_id,legal_name,segment,rateable,lines_offered,lines_not_offered,states_available,cat_posture,hard_declines,soft_cautions,preferred_signals,cs_phone,portal_name,notes_for_agent
slide,Slide Insurance,fl_property,true,HO3|HO6|DP1|DP3,,FL|SC|NC|SE_coastal,open,no_wind_mit_and_tier1_coast,older_roof|pre_2001_construction,citizens_takeout|newer_construction|wind_mitigation,1-800-748-2030,Slide Agent Portal Access,Aggressive FL/SC Citizens takeout writer. Quote FL HO early after roof/year-built screen.
american_integrity,American Integrity Insurance,fl_property,true,HO3|HO6|DP1|DP3|WATERCRAFT|GOLF_CART|FLOOD|SEASONAL,,FL|GA|SC|NC,open,mobile_home,older_roof,se_residential|depopulation|seasonal_dwelling,1-866-968-8390,American Integrity Agent Portal,Good SE HO/DP and seasonal. Not a mobile-home market.
foremost,Foremost Insurance,specialty,true,MOBILE|MANUFACTURED|VACANT|DP1|DP3|RV|MCY|WATERCRAFT|PAP|UMB,HO3_preferred_standard,US,open,,standard_preferred_home,mobile_home|vacant|manufactured|nonstandard_dwelling,1-800-237-6136,ForemostSTAR Agent Portal,"Default first call for manufactured/mobile. Homes any age/model/make/value (rare). Discounts: seniors 50+, newer homes, approved parks, bundling. GEICO/USAA quietly route MH here. Common MH threads: tie-down cert, roof age/condition, 4-point over 30 years. Route mobile/vacant/older specialty dwelling HERE before standard HO carriers. Javy MHO notes 2026-09-22."
universal_pc,Universal Property & Casualty,fl_property,true,HO3|HO4|HO6|HO8|DP1|DP2|DP3,,FL|SE|mid_atlantic_select,open,mobile_home|manufactured|min_cov_a:100000|max_cov_a:1500000,older_roof_no_cert,habitational|coastal_ho,1-800-425-9113,Universal Property Agent Portal,"UPCIC FL Underwriting Binding Guidelines 05/26/2026. 100% RCV must be Cov A on all forms except HO4 and HO8 (HO8 may use 100% ACV when Optional RC Loss Settlement is not selected; properties over 100 years must be ACV). Check Atlas Bridge Check Form Availability for closed zips/territories. No backdated cancellations. Panhandle counties: Bay, Escambia, Okaloosa, Santa Rosa, Walton. HO3 Cov A X-Wind in Windpool / All Wind and Non-Windpool: Broward, Miami-Dade, Palm Beach built 1950+ $250,000-$1,000,000 / $250,000-$1,500,000 (1950-1975 must bind Water Damage Exclusion or Limited Water $10,000; full water available post-bind with acceptable 4-point). All other counties built 1950+ $100,000-$1,000,000 / $100,000-$1,500,000. HO8 all counties built 1900+ $100,000-$1,000,000 / $100,000-$1,500,000. DP1 Panhandle built 2002+ or Tri-County built 1976+ or other counties built 1900+: $100,000-$500,000 / $100,000-$750,000. DP2/DP3 Panhandle 2002+ or Tri-County 1976+ or other counties 1940+: $100,000-$500,000 / $100,000-$750,000. HO4 Cov C $20,000-$300,000 (Cov A N/A; built 1900+). HO6 Cov A $15,000-$1,000,000 (RCE required if A bound below $50k); owner Cov C $20,000-$500,000; tenant Cov C $6,000 min and max. Wind mit: OIR-B1-1802 only. Rev 01/12 acceptable if inspection before 4/1/2026; on/after 4/1/2026 use Rev 04/26. Opening Protection credit only with 1802 in the insured name. Hip roof credit via 4+ color photos confirming 100% hip or an 1802. Age: roof/HVAC/electrical updates within 30 years (not HO4). 4-point if older than 40 years (except HO4/HO6/HO8). No polybutylene or PEX except HO8 and DP1 (PEX ok if built or updated 2010+). ACV roof and/or water limitation may apply for roofs over 20 years. HVAC: no portable space heaters; operable A/C statewide; vented heat except listed south counties. Electrical: 100 amp min; no aluminum branch, cloth, knob-tube, or double-tap (Alumiconn/Copalum ok); no fuses; no FPE/Stab-Lok, Zinsco, Sylvania-Zinsco, Challenger-Zinsco. Ineligible: mobile/trailer, manufactured/modular, dome/unusual, EIFS, pre-existing damage, co-op condos (HO4 ok), commercial (excl home daycare), DIY, builder risk, historic, over sand (HO8 ok), farming/ag, Chinese drywall, over water, open foundation (HO8 and DP1 ok; HO3/DP2/DP3 ok if 2002+ or FEMA Diagram 6). PC 10 not acceptable except HO3 masonry/superior. Vacant/unoccupied and short-term rentals ineligible. Prior sinkhole ever ineligible. Edition 05/26/2026."
kin,Kin Interinsurance Network,fl_property,true,HO3|HO6|MOBILE|FLOOD,,FL|CA|LA|TX|MS|SC|AL,open,no_modeled_cat_pass,older_unmitigated,flood_zone|coastal_modeled|mobile_if_modeled_ok,1-866-204-2219,Kin Partner Portal,Insurtech CAT-modeled. Can take flood/mobile when model clears.
hagerty,Hagerty Insurance,specialty,true,COLLECTOR_AUTO|CLASSIC_AUTO|BOAT|MCY,PAP_daily_driver,US|CA_provinces,selective,daily_driver|no_secure_storage|dirty_mvr,modified_hot_rod_unspecified,collector_vehicle|agreed_value|garaged,1-800-922-4050,Hagerty Agent Portal,Collector/agreed-value only. Do not send regular commuter autos.
dairyland,Dairyland Insurance,specialty,true,NONSTANDARD_PAP|MCY|ORV,PREFERRED_PAP,33_plus_US_states,open,preferred_only_profile,too_clean_for_price,dui|sr22|lapse|tickets|accidents|international_license,1-800-334-0090,Dairyland Agent Center,Nonstandard auto. Use when preferred auto will decline.
tower_hill,Tower Hill Insurance,fl_property,true,HO3|HO6|DP1|DP3|COMM_RES,,FL|SE_select,open,mobile_home,older_roof,fl_residential|comm_residential,1-800-342-3407,Tower Hill Agent Portal,"Core FL HO/DP writer. First-pass with Universal and Slide. FL MHO: no age cap on MH, value up to $300k; RC on homes ≤30 years, ACV older; up to 2 claims in past 3 years OK; short-term rentals (Airbnb) allowed. Common MH threads: tie-down cert, roof age/condition, 4-point over 30 years. Javy MHO notes 2026-09-22."
frontline,Frontline Insurance,fl_property,true,HO3|HO4|HO6|DP,,FL|AL|GA|NC|SC,selective,inland_only_outside_footprint,older_roof|poor_mitigation,se_coastal_residential,1-877-744-5224,Frontline Agent Center,SE coastal residential specialist.
florida_peninsula,Florida Peninsula Insurance Company,fl_property,true,HO3|HO6|HO4|DP3,,FL,open,state!=FL|mobile_home,older_roof,fl_single_family|citizens_takeout,1-877-229-2244,Florida Peninsula Agent Portal,FL only. Active Citizens takeout carrier.
