carrier_id,legal_name,segment,rateable,lines_offered,lines_not_offered,states_available,cat_posture,hard_declines,soft_cautions,preferred_signals,cs_phone,portal_name,notes_for_agent
progressive,Progressive Casualty Insurance,national,true,"PAP|STANDARD_PAP|NONSTANDARD_PAP|MCY|RV|BOAT|HO3|HO6",DP3,US,selective,no_new_dp3,property_not_lead,auto_bundle|clean_mvr,1-800-776-4737,Progressive For Agents,"Auto-first, not a property leader. No new DP-3. US token is personal auto nationwide — do not treat as a property-capacity leader. FL HO3/HO6/DP: FL specialists outrank this row. Research-dated 2026-09."
geico,GEICO,national,true,"PAP|STANDARD_PAP|NONSTANDARD_PAP|MCY","HO3|HO6|DP1|DP3",US,selective,,,auto_bundle|preferred_auto,1-800-841-3000,GEICO Agent Portal,"Auto-first national. Not a homeowners/DP market. US token is personal auto nationwide. Research-dated 2026-09."
state_farm,State Farm,national,true,"PAP|HO3|HO4|HO6|UMB|BOAT",,US,selective,,older_roof,multi_line_bundle|preferred_home,1-800-782-8332,State Farm Agent Portal,"Writes P&C nationwide. CA new homeowners is closed_new_biz via appetite_state_rules — not a nationwide HO close. FL HO: FL specialists outrank this row. Research-dated 2026-09."
allstate,Allstate Insurance,national,true,"PAP|HO3|HO4|HO6|UMB|MCY",,US,selective,,older_roof,multi_line_bundle,1-800-255-7828,Allstate Agency Gateway,"Nationwide auto. CA new homeowners still closed (2026-09 overlay). Allstate has asked CA to reopen HO; not writing new CA HO until approved. FL HO: FL specialists outrank this row. Research-dated 2026-09."
farmers,Farmers Insurance,national,true,"PAP|HO3|HO6|UMB",,AZ|CA|CO|ID|IL|IN|IA|KS|MI|MN|MO|MT|NE|NV|NM|ND|OH|OK|OR|SD|TX|UT|WA|WI|WY|other,selective,,older_roof,multi_line_bundle,1-888-327-6335,Farmers Agency Portal,"Multi-line national. Explicit listed states only — do not invent 50. FL HO book is not treated as in-footprint here. Confirm appointment/state. Research-dated 2026-09."
nationwide,Nationwide Mutual Insurance,national,true,"PAP|HO3|HO6|UMB|FARM",,AL|AZ|AR|CO|CT|DE|GA|IL|IN|IA|KS|KY|MD|MI|MN|MO|NE|NV|NH|NJ|NM|NY|NC|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI|other,selective,,older_roof,multi_line_bundle,1-877-669-6877,Nationwide Agency Portal,"Multi-line. Listed states only (no invented 50; CA/FL HO not assumed). Confirm current HO footprint. FL HO: specialists outrank. Research-dated 2026-09."
liberty_mutual,Liberty Mutual Insurance,national,true,"PAP|HO3|HO6|UMB",,AL|AZ|AR|CA|CO|CT|DE|FL|GA|IL|IN|IA|KS|KY|LA|MD|MA|MI|MN|MO|NV|NH|NJ|NY|NC|OH|OK|OR|PA|SC|TN|TX|UT|VA|WA|WI|45_plus_US_states,selective,,older_roof,preferred_home,1-800-837-5254,Liberty Mutual Producer Portal,"Large national. Explicit listed states + 45+ confirm token — do not invent 50. Distinct from safeco. FL HO: specialists outrank. Research-dated 2026-09."
safeco,Safeco Insurance,national,true,"PAP|HO3|HO6|UMB",,AL|AZ|AR|CA|CO|CT|FL|GA|ID|IL|IN|IA|KS|KY|MD|MI|MN|MO|NV|NJ|NY|NC|OH|OR|PA|SC|TN|TX|UT|VA|WA|WI|other,selective,,older_roof,preferred_home,1-800-332-3226,Safeco Agency Portal,"Distinct company from Liberty Mutual (do not merge). Listed states only. FL HO: specialists outrank. Research-dated 2026-09."
travelers,The Travelers Indemnity Company,national,true,"PAP|HO3|HO6|UMB|COMM",,AL|AZ|AR|CA|CO|CT|DE|FL|GA|IL|IN|IA|KS|KY|MD|MA|MI|MN|MO|NJ|NY|NC|OH|OR|PA|SC|TN|TX|VA|WA|WI|other,selective,,older_roof,preferred_home,1-800-252-4633,Travelers Agent HQ,"Personal + commercial national. Listed states only — do not invent 50. FL HO: specialists outrank. Research-dated 2026-09."
usaa,USAA,national,true,"PAP|HO3|HO6|UMB",,US,selective,,,military_eligibility,1-800-531-8722,USAA Provider / Alliance,"Membership / eligibility nationwide. US token is for eligible members only — not an open market. Confirm eligibility before quoting. Research-dated 2026-09."
chubb,Chubb,national,true,"HO3|HO5|HO6|UMB|HNW_HOME",PAP_mass_market,AZ|CA|CO|CT|FL|GA|IL|MA|MD|NJ|NY|NC|OH|PA|TX|VA|WA|other,selective,,mass_market_home,hnw|high_value|protective_devices,1-800-252-4670,Chubb Marketplace,"HNW / high-value selective. Listed states only — do not invent 50. Not a mass-market HO shop. Research-dated 2026-09."
hartford,The Hartford,national,true,"PAP|HO3|HO6|UMB",,AZ|CA|CO|CT|FL|GA|IL|IN|MD|MA|MI|NJ|NY|NC|OH|PA|TX|VA|WA|other,selective,,older_roof,aarp_personal,1-800-243-5860,Hartford Agent Center,"Personal lines often via AARP / affinity. Listed states only. FL HO: specialists outrank. Research-dated 2026-09."
american_family,American Family Insurance,national,true,"PAP|HO3|HO6|UMB",,AZ|CO|GA|ID|IL|IN|IA|KS|MN|MO|NE|NV|NM|ND|OH|OR|SD|UT|WA|WI|other,selective,,older_roof,multi_line_bundle,1-800-692-6326,AmFam Agency Portal,"Midwest/West footprint. Listed states only — do not invent 50. Not a Florida HO market in this seed. Research-dated 2026-09."
citizens,Citizens Property Insurance Corporation,fl_property,true,"HO3|HO6|DP1|DP3",,FL,selective,state!=FL,older_roof|poor_mitigation,fl_residual_property,1-866-411-2742,Citizens Agent Portal,"Florida property residual market. Normal catalog row — same fields as every other carrier. Quoting depends on agency appointment. No last-resort / within-20% ranking. FL specialists still lead DEFAULT_FL_HO_ORDER. Research-dated 2026-09."
